Opening serial port 'COM25'
Connection opened.
-I- === Initialize eMMC access ===
Detected memory size is 3925868544 bytes.
Page size is 512 bytes.
Buffer is 88576 bytes (173 pages) at address 0x0022a440.
-I- === Load images on eMMC ===
Wrote 88576 bytes at address 0x01399000 (1.92%)
Wrote 88576 bytes at address 0x013aea00 (1.93%)
Wrote 88576 bytes at address 0x013c4400 (1.94%)
Wrote 88576 bytes at address 0x013d9e00 (1.95%)
Wrote 88576 bytes at address 0x013ef800 (1.96%)
Wrote 88576 bytes at address 0x01405200 (1.96%)
Wrote 88576 bytes at address 0x0141ac00 (1.97%)
Wrote 88576 bytes at address 0x01430600 (1.98%)
Wrote 88576 bytes at address 0x01446000 (1.99%)
Wrote 88576 bytes at address 0x0145ba00 (2.00%)
Wrote 88576 bytes at address 0x01471400 (2.00%)
Wrote 88576 bytes at address 0x01486e00 (2.01%)
Wrote 88576 bytes at address 0x0149c800 (2.02%)
Wrote 88576 bytes at address 0x014b2200 (2.03%)
Wrote 88576 bytes at address 0x014c7c00 (2.04%)
Wrote 88576 bytes at address 0x014dd600 (2.05%)
Wrote 88576 bytes at address 0x014f3000 (2.05%)
Wrote 88576 bytes at address 0x01508a00 (2.06%)
Wrote 88576 bytes at address 0x0151e400 (2.07%)
Wrote 88576 bytes at address 0x01533e00 (2.08%)
Wrote 88576 bytes at address 0x01549800 (2.09%)
Wrote 88576 bytes at address 0x0155f200 (2.10%)
Wrote 88576 bytes at address 0x01574c00 (2.10%)
Wrote 88576 bytes at address 0x0158a600 (2.11%)
Wrote 88576 bytes at address 0x015a0000 (2.12%)
Wrote 88576 bytes at address 0x015b5a00 (2.13%)
Wrote 88576 bytes at address 0x015cb400 (2.14%)
Wrote 88576 bytes at address 0x015e0e00 (2.14%)
Wrote 88576 bytes at address 0x015f6800 (2.15%)
Wrote 88576 bytes at address 0x0160c200 (2.16%)
Wrote 88576 bytes at address 0x01621c00 (2.17%)
Wrote 88576 bytes at address 0x01637600 (2.18%)
Wrote 88576 bytes at address 0x0164d000 (2.19%)
Wrote 88576 bytes at address 0x01662a00 (2.19%)
Wrote 88576 bytes at address 0x01678400 (2.20%)
Wrote 88576 bytes at address 0x0168de00 (2.21%)
Wrote 88576 bytes at address 0x016a3800 (2.22%)
Wrote 88576 bytes at address 0x016b9200 (2.23%)
Wrote 88576 bytes at address 0x016cec00 (2.24%)
Wrote 88576 bytes at address 0x016e4600 (2.24%)
Wrote 88576 bytes at address 0x016fa000 (2.25%)
Wrote 88576 bytes at address 0x0170fa00 (2.26%)
Wrote 88576 bytes at address 0x01725400 (2.27%)
Wrote 88576 bytes at address 0x0173ae00 (2.28%)
Wrote 88576 bytes at address 0x01750800 (2.29%)
Wrote 88576 bytes at address 0x01766200 (2.29%)
Wrote 88576 bytes at address 0x0177bc00 (2.30%)
Wrote 88576 bytes at address 0x01791600 (2.31%)
Wrote 88576 bytes at address 0x017a7000 (2.32%)
Wrote 88576 bytes at address 0x017bca00 (2.33%)
Wrote 88576 bytes at address 0x017d2400 (2.33%)
Wrote 88576 bytes at address 0x017e7e00 (2.34%)
Wrote 88576 bytes at address 0x017fd800 (2.35%)
Wrote 88576 bytes at address 0x01813200 (2.36%)
Wrote 88576 bytes at address 0x01828c00 (2.37%)
Wrote 88576 bytes at address 0x0183e600 (2.38%)
Wrote 88576 bytes at address 0x01854000 (2.38%)
Wrote 88576 bytes at address 0x01869a00 (2.39%)
Wrote 88576 bytes at address 0x0187f400 (2.40%)
Wrote 88576 bytes at address 0x01894e00 (2.41%)
Wrote 88576 bytes at address 0x018aa800 (2.42%)
Wrote 88576 bytes at address 0x018c0200 (2.43%)
Wrote 88576 bytes at address 0x018d5c00 (2.43%)
Wrote 88576 bytes at address 0x018eb600 (2.44%)
Wrote 88576 bytes at address 0x01901000 (2.45%)
Wrote 88576 bytes at address 0x01916a00 (2.46%)
Wrote 88576 bytes at address 0x0192c400 (2.47%)
Wrote 88576 bytes at address 0x01941e00 (2.47%)
Wrote 88576 bytes at address 0x01957800 (2.48%)
Wrote 88576 bytes at address 0x0196d200 (2.49%)
Wrote 88576 bytes at address 0x01982c00 (2.50%)
Wrote 88576 bytes at address 0x01998600 (2.51%)
Wrote 88576 bytes at address 0x019ae000 (2.52%)
Wrote 88576 bytes at address 0x019c3a00 (2.52%)
Wrote 88576 bytes at address 0x019d9400 (2.53%)
Wrote 88576 bytes at address 0x019eee00 (2.54%)
Wrote 88576 bytes at address 0x01a04800 (2.55%)
Wrote 88576 bytes at address 0x01a1a200 (2.56%)
Wrote 88576 bytes at address 0x01a2fc00 (2.57%)
Wrote 88576 bytes at address 0x01a45600 (2.57%)
Wrote 88576 bytes at address 0x01a5b000 (2.58%)
Wrote 88576 bytes at address 0x01a70a00 (2.59%)
Wrote 88576 bytes at address 0x01a86400 (2.60%)
Wrote 88576 bytes at address 0x01a9be00 (2.61%)
Wrote 88576 bytes at address 0x01ab1800 (2.62%)
Wrote 88576 bytes at address 0x01ac7200 (2.62%)
Wrote 88576 bytes at address 0x01adcc00 (2.63%)
Wrote 88576 bytes at address 0x01af2600 (2.64%)
Wrote 88576 bytes at address 0x01b08000 (2.65%)
Wrote 88576 bytes at address 0x01b1da00 (2.66%)
